Company,JobTitle,Location,JobType,WorkType,MinSalary,MaxSalary,Experience,Skills,SkillsNumber,Keyword,Applicants,UAEApplicants,JobPoster,ViewDate
ValueLabs,React.JS Developer,Dubai,Full-Time,OnSite,0,0,7,"ReactJS (TypeScript), HTML, Tailwind CSS, CSS-Pre-processors, JavaScript, Styled Components, CSS-in-JS, Data Structures for TypeScript, DOM manipulation, JavaScript object model, JSDoc, React.js, Flux, Redux, ContextAPI, ECMAScript (JavaScript or Typescript), npm, yarn, Restful APIs, Typescript, version control software, remote deployment tools, CI/CD tools, React components, hooks, React lifecycle, Jest, Enzyme, Jasmine, TSLINT, Prettier.",31,web developer,165,70,Bhawna Malik,04/02/2024
TIMWETECH,Engenheiro de software,Dubai,Full-Time,Hybrid,0,0,3,"Java 8+, JEE development, SDLC, Unix commands, Core Java/J2EE, Configuration & Control Management, Troubleshooting, DBMS Management, SMPP, MMS, USSD, Tomcat 7, Nginx, JDBC, JDBI, Jersey, HK2, Json, XML, Java packaging and deploy (JAR, WAR, EAR), REST/SOAP, SQL & Database (Oracle), Testing Frameworks (JUnit), Source Control (SVN, Git), Maven, Jenkin, Agile Methodologies (Scrum).",28,web developer,164,78,Ana Mendonça,04/02/2024
Al Marwan Group,Backend Developer (Magento),Dubai,Full-Time,OnSite,0,0,5,"Magento 2, PHP, Python, AWS Serverless Lambda, Vue.js, JavaScript, GraphQL, Agile Methodology.",8,web developer,206,108,Muhammad Ali,04/02/2024
GLOMACS®,Senior Web Developer,Dubai,Full-Time,OnSite,0,0,5,"Back-End Web Development, Front-End Development, Web Design, PHP, JavaScript, HTML5, CSS3, Laravel Framework, VueJS Framework, Git, version control, RESTful APIs, web services, Computer Science, Agile development, Mobile app development.",15,web developer,432,267,Philip Abraham,04/02/2024
VAI Marketing Management,FullStack Developer- Team Leader,Dubai,Full-Time,OnSite,0,0,8,"Go Lang, Python Django, MERN, PostgreSQL, MySQL, Cassandra, RedisDB, CI/CD Pipelines, Kubernetes, Docker, FullStack Developer, Team Leader, Software Development, Communication, Leadership, Problem-solving, Project Management, Adaptability, Time Management, Risk Management, Conflict Resolution, Continuous Learning, Quality Assurance.",23,web developer,58,43,Mani Talan Dhama,04/02/2024
Synechron,Back End Developer,Dubai,Full-Time,OnSite,0,0,0,"NODE JS, API Banking, Design Patterns, Security standards, Authentication, Network, Kafka, MongoDB, Microservices architecture, Java.",10,web developer,411,168,Priyarshi Dhariwal,04/02/2024
Austin Werner,Senior Front-end Engineer - ReactJS / Trading Systems,Abu Dhabi,Full-Time,Remote,0,0,10,"ReactJS, JavaScript, TypeScript, Open API, React Native, Expo, EAS, Cloud-native, AWS (ECS, EC2, Lambda, RDS, S3, SQS), Front-end Development, Financial Services, Microservices Architecture, Issue Tracking, Source Control, CI/CD Workflows, Modular Systems, Troubleshooting, Digital Assets, Blockchain, Computer Science, Security Best Practices.",21,web developer,245,169,Austin Werner,04/02/2024
kevin,Senior Backend Software Engineer,UAE,Full-Time,Hybrid,0,0,0,"Node.JS, Nest.JS, TypeScript, OOP Principles, Clean Code Design, Technical Analysis, Code Reviews, Technical Ownership, Business Analysis, Problem Solving",10,web developer,273,148,kevin.,04/02/2024
Job N Job,Javascript Developer (React.js),Abu Dhabi,Full-Time,OnSite,0,0,5,"JavaScript, HTML, CSS, ReactJS (TypeScript), Tailwind CSS, CSS-Pre processors, CSS-in-JS, Styled Components, Data Structures, ECMAScript, npm, yarn, RESTful APIs, TypeScript, version control software, CI/CD tools, Flux, Redux, ContextAPI, Jest, Enzyme, Jasmine, TSLINT, Prettier, Coding standards, Security standards, Unit testing, Documentation standards, Agile methodology",29,web developer,171,105,Reema Chaube,04/02/2024
Skills Hub Recruitment Solutions,Web Developer-Project Manager,Abu Dhabi,Full-Time,OnSite,0,0,0,"Programming Languages, Web Development Technologies, Project, Management Technologies, Software Development Technologies, Database Management Technologies, Communication Technologies",6,web developer,93,55,Skills Hub Recruitment Solutions,04/02/2024
